縣市別,行業別,媒介物,災害類型,發生日期,死,傷
高雄市,運輸及倉儲業,屋頂、屋架、樑,墜落、滾落,2017/1/3,1,0
雲林縣,製造業,研磨床,被夾、被捲,2017/1/3,1,0
台北市,營造業,梯子等,墜落、滾落,2017/1/6,1,0
屏東縣,製造業,屋頂、屋架、樑,墜落、滾落,2017/1/8,1,0
台中市,營造業,施工架,墜落、滾落,2017/1/8,1,0
苗栗縣,製造業,堆高機,物體倒塌、崩塌,2017/1/10,1,0
新竹縣,製造業,其他(液壓升降平台),被夾、被捲,2017/1/10,1,0
新北市,製造業,開口部分,墜落、滾落,2017/1/12,1,0
新北市,製造業,易燃液體,火災,2017/1/13,1,4
新北市,營造業,施工架,墜落、滾落,2017/1/16,1,0
台中市,營造業,施工架,墜落、滾落,2017/1/17,1,0
苗栗縣,營造業,營建物,物體倒塌、崩塌,2017/1/17,1,0
台南市,不動產業,施工架,墜落、滾落,2017/1/20,1,0
桃園市,營造業,屋頂、屋架、樑,墜落、滾落,2017/1/20,1,0
高雄市,公共行政及國防；強制性社會安全,其他,墜落、滾落,2017/1/22,1,0
台東縣,公共行政及國防；強制性社會安全,施工架,物體倒塌、崩塌,2017/1/24,1,0
台南市,運輸及倉儲業,其他,被撞,2017/1/25,1,0
彰化縣,資訊及通訊傳播業,其他,其他,2017/1/28,1,0
台南市,營造業,施工架,墜落、滾落,2017/2/2,1,0
台北市,營造業,其他,墜落、滾落,2017/2/5,1,0
屏東縣,不動產業,施工架,墜落、滾落,2017/2/6,1,0
台南市,製造業,其他,被夾、被捲,2017/2/8,1,0
彰化縣,用水供應及汙染整治業,堆高機,被撞,2017/2/8,1,0
新北市,營造業,屋頂、屋架、樑,墜落、滾落,2017/2/10,1,0
新竹縣,製造業,其他,被夾、被捲,2017/2/14,1,0
新北市,營造業,開口部分,墜落、滾落,2017/2/15,1,0
中科,營造業,梯子等,墜落、滾落,2017/2/18,1,0
新竹縣,製造業,升降機、提升機,墜落、滾落,2017/2/24,1,0
彰化縣,營造業,屋頂、屋架、樑,墜落、滾落,2017/2/24,1,0
彰化縣,營造業,營建物,物體倒塌、崩塌,2017/2/25,1,0
高雄市,其他服務業,工作臺、踏板,墜落、滾落,2017/2/25,1,0
台南市,營造業,營建物,墜落、滾落,2017/2/27,1,0
台中市,支援服務業,待查,待查,2017/2/27,1,0
台中市,營造業,施工架,墜落、滾落,2017/2/28,1,0
台北市,營造業,屋頂、屋架、樑,墜落、滾落,2017/3/1,1,0
台中市,營造業,屋頂、屋架、樑,墜落、滾落,2017/3/2,1,0
新北市,營造業,梯子等,墜落、滾落,2017/3/2,1,0
花蓮縣,製造業,其他動力機械,被夾、被捲,2017/3/3,1,0
苗栗縣,用水供應及汙染整治業,汙水,溺斃,2017/3/4,1,0
桃園市,製造業,捲布機,被夾、被捲,2017/3/6,1,0
雲林縣,製造業,可燃性氣體,爆炸,2017/3/6,0,4
台中市,製造業,油壓機機件,物體飛落,2017/3/9,1,0
台南市,營造業,打樁機,物體飛落,2017/3/11,1,0
新北市,營造業,其他,被撞,2017/3/12,1,0
宜蘭縣,營造業,梯子等,墜落、滾落,2017/3/14,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2017/3/15,1,0
宜蘭縣,製造業,開口部分,墜落、滾落,2017/3/16,1,0
高雄市,營造業,可燃性氣體,火災,2017/3/17,1,3
屏東縣,營造業,有害物-甲苯、二甲苯等,與有害物等之接觸,2017/3/17,0,3
高雄市,電力及燃氣供應業,開口部分,墜落、滾落,2017/3/18,1,0
桃園市,營造業,施工架,墜落、滾落,2017/3/18,1,0
台東縣,公共行政及國防；強制性社會安全,其他(邊坡),墜落、滾落,2017/3/19,1,0
新北市,營造業,營建物,物體倒塌、崩塌,2017/3/20,1,0
台北市,營造業,起重機,物體飛落,2017/3/21,1,0
高雄市,營造業,其他(挖土機),墜落、滾落,2017/3/22,1,0
高雄市,營造業,梯子等,墜落、滾落,2017/3/23,1,0
台南市,製造業,屋頂、屋架、樑,墜落、滾落,2017/3/23,1,0
新竹縣,營造業,工作台、踏板,墜落、滾落,2017/3/26,1,0
基隆市,營造業,營建物,物體倒塌、崩塌,2017/3/27,2,1
台南市,製造業,滾軋機,被夾、被捲,2017/3/28,1,0
台中市,製造業,移動梯,墜落、滾落,2017/3/28,1,0
中科,營造業,營建物,物體倒塌、崩塌,2017/3/30,1,0
新北市,電力及燃氣供應業,鐵塔,墜落、滾落,2017/3/30,1,0
桃園市,製造業,射出成型機,被夾、被捲,2017/3/30,1,0
高雄市,電力及燃氣供應業,輸配線電路,感電,2017/4/2,1,0
桃園市,運輸及倉儲業,開口部分,墜落、滾落,2017/4/4,1,0
桃園市,營造業,土砂、岩石,物體倒塌、崩塌,2017/4/3,1,0
桃園市,其他服務業,吊掛鉤具,墜落、滾落,2017/4/5,1,0
宜蘭縣,製造業,油壓沖孔機,物體破裂,2017/4/6,1,0
新北市,營造業,梯子等,墜落、滾落,2017/4/10,1,0
宜蘭縣,公共行政及國防；強制性社會安全,其他,墜落、滾落,2017/4/10,1,0
台中市,營造業,梯子等,墜落、滾落,2017/4/10,1,0
桃園市,製造業,用具,物體倒塌、崩塌,2017/4/11,1,0
台南市,營造業,營建物,物體倒塌、崩塌,2017/4/12,1,0
高雄市,營造業,開口部分,墜落、滾落,2017/4/13,1,0
桃園市,營造業,開口部分,墜落、滾落,2017/4/13,1,0
台中市,專業、科學及技術服務業,屋頂、屋架、樑(採光浪板),墜落、滾落,2017/4/14,1,0
高雄市,製造業,易燃液體,火災,2017/4/15,2,0
台南市,農、林、漁、牧業,牛,被撞,2017/4/15,1,0
台中市,營造業,施工架,墜落、滾落,2017/4/17,1,0
嘉義縣,營造業,施工架,墜落、滾落,2017/4/18,1,0
桃園市,支援服務業,其他媒介物,物體倒塌、崩塌,2017/4/18,1,0
屏東縣,製造業,通路,墜落、滾落,2017/4/20,1,0
新北市,營造業,營建物,物體飛落,2017/4/24,1,0
高雄市,製造業,硫化氫,與有害物等之接觸,2017/4/24,1,2
新竹縣,農、林、漁、牧業,立木,物體飛落,2017/4/25,1,0
高雄市,其他服務業,車輛,物體飛落,2017/4/25,1,0
台南市,製造業,堆高機,衝撞,2017/4/27,1,0
台北市,其他服務業,開口部分,墜落、滾落,2017/4/28,1,0
台中市,營造業,可燃性氣體,火災,2017/4/29,0,3
雲林縣,製造業,浪板,墜落、滾落,2017/4/29,1,0
台南市,製造業,易燃性液體,火災,2017/4/30,1,0
桃園市,用水供應及汙染整治業,其他媒介物,墜落、滾落,2017/5/2,1,0
彰化縣,製造業,操紙機,被撞,2017/5/3,1,0
花蓮縣,公共行政及國防；強制性社會安全,移動式起重機,物體飛落,2017/5/5,1,0
花蓮縣,農、林、漁、牧業,曳引機,被撞,2017/5/5,1,0
新北市,公共行政及國防；強制性社會安全,汽車、公共汽車,公路交通事故,2017/5/7,2,0
桃園市,製造業,升降機,被夾、被捲,2017/5/9,1,0
桃園市,製造業,固定式起重機,墜落、滾落,2017/5/10,1,0
嘉義縣,營造業,高低溫環境,與高溫、低溫之接觸,2017/5/12,1,0
花蓮縣,製造業,其他材料(石膏),墜落、滾落,2017/5/13,2,0
彰化縣,營造業,屋頂、屋架、樑,墜落、滾落,2017/5/15,1,0
高雄市,營造業,其他,火災,2017/5/15,1,12
雲林縣,製造業,其他,其他,2017/5/19,0,4
花蓮縣,營造業,開口部分,被撞,2017/5/20,1,0
台北市,營造業,開口部分,墜落、滾落,2017/5/20,1,0
台中市,營造業,手工具,被刺、割、擦傷,2017/5/23,1,0
高雄市,批發及零售業,車輛,物體倒塌、崩塌,2017/5/24,1,0
南投縣,營造業,梯子等,墜落、滾落,2017/5/24,1,0
高雄市,營造業,開口部分,墜落、滾落,2017/5/27,1,0
彰化縣,營造業,梯子等,墜落、滾落,2017/5/29,1,0
桃園市,製造業,採光罩,墜落、滾落,2017/5/31,1,0
台中市,營造業,屋頂、屋架、樑,墜落、滾落,2017/6/5,1,0
台北市,資訊及通訊傳播業,其他電器設備(冷氣室外機),感電,2017/6/5,1,0
新北市,製造業,混凝土車,墜落、滾落,2017/6/6,1,0
新北市,營造業,施工架,墜落、滾落,2017/6/6,1,0
花蓮縣,農、林、漁、牧業,卡車,被撞,2017/6/7,1,0
嘉義縣,製造業,塑膠袋,物體倒塌、崩塌,2017/6/7,1,1
屏東縣,用水供應及汙染整治業,通路,跌倒,2017/6/7,1,0
台南市,製造業,開口部分,墜落、滾落,2017/6/8,1,0
高雄市,不動產業,梯子等,墜落、滾落,2017/6/9,1,0
新竹縣,農、林、漁、牧業,挖土機,墜落、滾落,2017/6/10,1,0
高雄市,營造業,電弧熔接,感電,2017/6/12,1,0
高雄市,製造業,工作台,墜落、滾落,2017/6/13,1,0
嘉義縣,農、林、漁、牧業,堆高機,其他,2017/6/13,1,0
高雄市,製造業,施工架,墜落、滾落,2017/6/13,1,0
高雄市,其他服務業,樹枝,墜落、滾落,2017/6/14,1,0
高雄市,製造業,鋼胚,物體倒塌、崩塌,2017/6/14,1,0
新北市,其他服務業,PVC磚,物體飛落,2017/6/14,1,0
宜蘭縣,營造業,輸配電線路,感電,2017/6/16,1,0
雲林縣,專業、科學及技術服務業,移動梯,墜落、滾落,2017/6/19,1,0
台南市,製造業,金屬材料,物體倒塌、崩塌,2017/6/20,1,0
苗栗縣,營造業,屋頂、屋架、樑,墜落、滾落,2017/6/20,1,0
高雄市,製造業,待查,待查,2017/6/22,1,0
新竹縣,製造業,屋頂、屋架、樑,墜落、滾落,2017/6/22,1,0
雲林縣,營造業,動力鏟類設備(挖土機),溺斃,2017/6/22,1,0
高雄市,營造業,施工架,墜落、滾落,2017/6/22,1,0
嘉義縣,營造業,移動式起重機,墜落、滾落,2017/6/23,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2017/6/23,1,0
桃園市,其他服務業,移動式起重機搭乘設備,墜落、滾落,2017/6/23,1,0
桃園市,支援服務業,其他,物體倒塌、崩塌,2017/6/24,1,0
桃園市,製造業,基座H鋼,物體倒塌、崩塌,2017/6/24,1,0
台中市,營造業,金屬材料,被刺、割、擦傷,2017/6/24,1,0
宜蘭縣,製造業,硫化氫,與有害物等之接觸,2017/6/26,4,1
新竹縣,製造業,罩子,感電,2017/6/26,1,0
台中市,製造業,移動梯,墜落、滾落,2017/6/27,1,0
高雄市,營造業,屋頂、屋架、樑,墜落、滾落,2017/6/28,1,0
彰化縣,批發及零售業,營建物,墜落、滾落,2017/6/28,1,0
新北市,營造業,施工架,墜落、滾落,2017/6/29,1,0
台南市,製造業,採光罩,墜落、滾落,2017/6/30,1,0
桃園市,製造業,塑膠浪板,墜落、滾落,2017/6/30,1,0
高雄市,運輸及倉儲業,艙蓋板,物體飛落,2017/7/3,1,0
台南市,製造業,鑽床,被夾、被捲,2017/7/3,1,0
桃園市,製造業,輸送帶,被夾、被捲,2017/7/4,1,0
新北市,營造業,屋頂、屋架、樑,墜落、滾落,2017/7/4,1,0
高雄市,電力及燃氣供應業,營建物,物體飛落,2017/7/6,1,1
桃園市,不動產業,開口部分,墜落、滾落,2017/7/7,1,0
桃園市,製造業,開口部分,墜落、滾落,2017/7/8,1,0
嘉義縣,農、林、漁、牧業,水,溺斃,2017/7/8,1,0
桃園市,營造業,開口部分,墜落、滾落,2017/7/10,1,0
台南市,批發及零售業,其他(螺旋葉片),被夾、被捲,2017/7/10,1,0
台南市,營造業,屋頂、屋架、樑,墜落、滾落,2017/7/11,1,0
新北市,營造業,開口部分,墜落、滾落,2017/7/12,1,0
新竹縣,營造業,施工架,墜落、滾落,2017/7/14,1,0
台北市,營造業,電,感電,2017/7/14,1,0
苗栗縣,營造業,屋頂、屋架、樑,墜落、滾落,2017/7/14,1,0
台北市,專業、科學及技術服務業,輸配電路線,感電,2017/7/15,1,0
彰化縣,製造業,TY-209成型機,被夾、被捲,2017/7/18,1,0
高雄市,營造業,輸配電線路,感電,2017/7/18,1,0
